ability|способность
able|знающий
about|кругом
about|о
above|наверху
abroad|за границей
absolutely|совершенно
accept|принимать
acceptable|приемлемый; допустимый
accident|несчастный случай
accidental|случайный
accidentally|случайно
accommodation|помещение
according to|в соответствии с
account|счет
achieve|добиваться
achievement|достижение
across|поперек
act|действовать
action|действие
active|активный
activity|деятельность
actual|фактический
actually|фактически
add|прибавлять
address|адрес
address|адресовать
adjective|имя прилагательное
admire|любоваться
admit|допускать
advanced|передовой
advantage|преимущество
advice|совет
advise|советовать
affect|(воз)действовать
afford|быть в состоянии
afraid|испуганный
after|за
after|после
afternoon|время после полудня
afterwards|впоследствии
again|еще
against|прямо напротив
age|возраст
ago|тому назад
agree|соглашаться
agreement|согласие
ahead|вперед; впереди
aim|намерение
aim|домогаться
air|воздух
alive|живой
all|весь
allow|позволять
almost|почти; едва не
alone|единственный
along|вдоль
along|в том же направлении 
already|уже
also|тоже
although|хотя
always|всегда
among|между
amount|величина
and|и
angry|рассерженный
announce|объявлять
another|другой
answer|ответ
answer|отвечать
anxious|озабоченный
any|всякий
any|нисколько
anybody|кто-нибудь
anyone|кто-нибудь
anything|что-нибудь
anyway|так или иначе
anywhere|где-нибудь
apart|в стороне
apologize|извиняться
apparently|очевидно
appeal|призыв
appeal|обращаться
appear|показываться
appearance|внешность
apply|обращаться(с просьбой)
approval|одобрение
approve|одобрить
area|площадь
argue|спорить
argument|довод
arm|рука
around|всюду
arrange|приводить в порядок
arrangement|размещение
arrival|прибытие
arrive|прибывать
art|искусство
artificial|искусственный
as|в качестве
ashamed|пристыженный
ask|спрашивать
at|в
attach|прикреплять
attempt|попытка
attempt|пытаться
attention|внимание
attitude|позиция
attract|привлекать
attractive|заманчивый
authority|власть
autumn|осень
available|доступный
average|среднее
avoid|избегать
awake|не спящий
aware|знающий
away|прочь
back|спина
back|назад
back|поддерживать
backwards|назад
bad|плохой
badly|плохо
bag|сумка
balance|весы
ball|шар
band|оркестр
bang|удар
bang|ударять
bank|банк
bar|бар
base|база
base|базировать
basic|составляющий основу
basically|в своей основе; по существу
basis|базис
bath|ванна
battery|батарея
be|быть
bear|терпеть
beat|бить
beautiful|красивый
because|потому что
become|становиться
before|перед
before|впереди
before|прежде чем
begin|начинать (ся)
beginning|начало
behave|вести себя
behaviour|поведение
behind|сзади
behind|задний
belief|вера
believe|верить
belong|принадлежать
below|ниже
bend|сгибать (ся)
beneath|под
benefit|выгода
beside|рядом с
best|лучший
best|лучше всего
bet|пари
bet|держать пари
better|лучший
better|лучше
between|между
beyond|за
big|большой
bill|счет
bin|ящик
birth|рождение
birthday|день рождения
bit|кусочек
bite|укус/кусаться
black|черный
black|черный цвет
blame|упрек
blame|осуждать
blind|слепой
block|блок
block|заграждать
blow|веять
blue|голубой
board|доска
boat|лодка
body|тело
boil|варить
book|книга
book|вносить в книгу
border|граница
bored|скучающий
boring|скучный
born|родившийся
borrow|одалживать
both|оба
bother|беспокоить(ся)
bottom|дно
bottom|нижний
bound|связанный
brain|мозг
branch|ветвь
brave|смелый
bread|хлеб
break|перерыв
break|ломать
break down|разрушать
break in|вламываться
break into|вламываться
break out|выламывать
break through|прорваться
break up|крошиться на мелкие части
breakfast|завтрак
breath|дыхание
breathe|дышать
bridge|мост
brief|короткий
bright|яркий
bring|приносить
bring back|приносить обратно
bring down|свалить
bring forward|выдвигать
bring up|приводить
broad|широкий
broken|разбитый
brother|брат
brown|коричневый
brush|щетка
brush|чистить щеткой
build|строить
building|здание
bunch|связка
burn|гореть
burst|лопаться
bury|хоронить
bus|автобус
bush|куст
business|дело
busy|занятой
but|а/но
butter|масло
buy|покупать
by|у
by|близко
bye|до свидания
call|тефонный звонок
call|кричать
call at|останавливаться
call back|перезванивать
call off|отменять
call out|выкрикивать
call up|вызывать
calm|спокойный
calmly|спокойно
can|мочь
cap|кепка
capital|столица
car|автомобиль
card|карточка
care|забота
care|заботиться
